key,value
アイス,アイスクリーム
スーパーカップバニラアイス,アイスクリーム
ソフトクリーム,アイスクリーム
チョコミントアイス,アイスクリーム
ハーゲンダッツ,アイスクリーム
ハーゲンダッツアイスクリームミニカップ,アイスクリーム
ハーゲンダッツバニラ,アイスクリーム
レディーボーデンアイスバニラ,アイスクリーム
ロッテクーリッシュ,アイスクリーム
爽,アイスクリーム
アスパラ,アスパラガス
アプルソース,アップルソース
アボガド,アボカド
ｱﾎﾞｶﾞﾄﾞ,アボカド
イスパタ,イーストパウダー
イースト,イースト菌
エサンテ,エサンテオイル
エッグリプレーサ,エッグリプレーサー
オーツ,オーツ麦
haverzemelen,オートブラン
押し麦,オートミール
オールパーパス,オールパーパスフラワー
Optimum,オプティマム
Olive,オリーブ
エキストラバージンオリーブオイル,オリーブオイル
エクストラバージンオリーブオイル,オリーブオイル
オリーブオイルエクストラバージン,オリーブオイル
オリーブ油,オリーブオイル
オリーヴオイル,オリーブオイル
オーリーブオイル,オリーブオイル
ピュアオリーブオイル,オリーブオイル
ｵﾘｰﾌﾞｵｲﾙ,オリーブオイル
オレオ,オレオクッキー
ネーブル,オレンジ
ミネオラオレンジ,オレンジ
おかゆ,お粥
茶,お茶
ぬるま湯,お湯
温水,お湯
湯,お湯
熱湯,お湯
ｶﾞｰﾘｯｸﾊﾟｳﾀﾞｰ,ガーリックパウダー
カシュナッツ,カシューナッツ
ハニーローストカシューナッツ,カシューナッツ
カスタードクリームジャム,カスタード
カスタードクリームミックス,カスタード
カスピ海,カスピ海ヨーグルト
カッテイジチーズ,カッテージチーズ
カッテージ,カッテージチーズ
カブ,かぶ
カボチャ,かぼちゃ
カルア,カルーア
カルーアリキュール,カルーア
カロリーオフタイプ,カロリーオフ
カントリーマァムココア,カントリーマアム
カントリーマァムバニラ,カントリーマアム
キウィフルーツ,キウイ
キュウイ,キウイ
きなこ,きな粉
ローストキヌア,キヌア
芽キャベツ,キャベツ
ｷｬﾍﾞﾂ,キャベツ
ｷｬﾗﾒﾙｸﾘｰﾑ,キャラメルクリーム
キュウリ,きゅうり
胡瓜,きゅうり
キリュシュ,キルシュ
キリュシュワッサー,キルシュ
キルシュワッサー,キルシュ
グァバジュース,グアバジュース
グラウウンドジンジャー,グラウンドジンジャー
グラノラ,グラノーラ
コストコ・グラノーラスナック,グラノーラ
グランマニエー,グランマルニエ
cream,クリーム
クリームホイップ,クリーム
クレームシャンティ,クリーム
スジャータ,クリーム
スジャータホイップ,クリーム
スプレーホイップクリーム,クリーム
スプレーホイップタイプ,クリーム
デザートホイップ,クリーム
ホイップ,クリーム
ホイップクリーム,クリーム
ホイップクリーム・バター,クリーム
ポイップ,クリーム
生クリーム,クリーム
ｸﾘｰﾑ,クリーム
ﾎｲｯﾌﾟ,クリーム
ﾎｲｯﾌﾟｸﾘｰﾑ,クリーム
クリームオブタータ,クリームオブターター
クリチ,クリームチーズ
