key,value
甘い,甘い
甘軽い,甘軽い
甘爽やか,甘爽やか
甘酸っぱい,甘酸っぱい
薄甘い,薄甘い
可憐な甘い,可憐な甘い
控えめな甘い,控えめな甘い
仄かに甘い,仄かに甘い
僅かに甘い,僅かに甘い
アミノ酸,アミノ酸
薄い酸,薄い酸
酸,酸
酸味,酸味
すっぱい,すっぱい
控えめな酸,控えめな酸
仄かな酸,仄かな酸
僅かに酸,僅かに酸
青草,青草
青りんご,青りんご
アップルマンゴ―,アップルマンゴ―
アプリコット,アプリコット
アメ,アメ
イグサ,イグサ
イチゴ,イチゴ
イチゴ,いちご
イチゴ,苺
梅,梅
瓜 ,瓜 
熟れた果実,熟れた果実
熟れたバナナ,熟れたバナナ
熟れたリンゴ,熟れたリンゴ
お米,お米
カカオ,カカオ
カシス,カシス
果実,果実
果実香,果実香
果樹香,果樹香
柑橘,柑橘
柑橘系,柑橘系
完熟バナナ,完熟バナナ
完熟メロン,完熟メロン
完熟リンゴ,完熟リンゴ
完熟リンゴ,完熟りんご
水,木
キウイ,キウイ
キウイフルーツ,キウイフルーツ
巨峰,巨峰
草,草
栗,栗
クリームチーズ,クリームチーズ
グレープフルーツ,グレープフルーツ
麹,麹
麹バナ,麹バナ
黒糖麩菓子,黒糖麩菓子
穀物,穀物
米,米
サイダー,サイダー
サクランボ,サクランボ
酒エキス,酒エキス
シナモン,シナモン
シャインマスカット,シャインマスカット
熟した桃,熟した桃
熟したリンゴ,熟したリンゴ
上白糖,上白糖
白系ブドウ,白系ブドウ
シロップ,シロップ
白ワイン,白ワイン
酢,酢
スイカ,スイカ
炊いたお米,炊いたお米
炊き立てご飯,炊き立てご飯
畳,畳
樽香,樽香
小さな花,小さな花
金,土
トロピカルな,トロピカルな
梨,梨
南国的な,南国的な
南国フルーツ,南国フルーツ
乳酸,乳酸
乳製品,乳製品
ハーブ,ハーブ
パイナップル,パイナップル
パイン,パイン
白桃,白桃
白糖,白糖
パッションフルーツ,パッションフルーツ
花,花
バナナ,バナナ
バニラ,バニラ
早春,早春
春風,春風
パン,パン
ヒノキ,ヒノキ
ブドウ,ブドウ
フルーツ,フルーツ
ブルーベリー,ブルーベリー
プルーン,プルーン
フレッシュリンゴ,フレッシュリンゴ
ベリー,ベリー
マスカット,マスカット
マンゴー,マンゴー
蜜リンゴ,蜜リンゴ
ミルキー,ミルキー
メロン,メロン
メンソール,メンソール
桃,桃
焼かれた葉,焼かれた葉
洋菓子,洋菓子
洋梨,洋梨
ヨーグルト,ヨーグルト
ライチ,ライチ
ラフランス,ラフランス
ラムネ,ラムネ
リンゴ,リンゴ
レーズン,レーズン
レモン,レモン
若い果実,若い果実
若いパイナップル,若いパイナップル
若いバナナ,若いバナナ
若いメロン,若いメロン
若いリンゴ,若いリンゴ
綿菓子,綿菓子
和梨,和梨
麗しい,麗しい
奥ゆかしい,奥ゆかしい
穏やか,穏やか
心地よい,心地よい
心落ち着く,心落ち着く
爽やか,爽やか
洗練された,洗練された
艶やか,艶やか
華やかな,華やかな
ふくよか,ふくよか
みずみずしい,みずみずしい
優しい,優しい
柔らかい,柔らかい
若々しい,若々しい
青い,青い
あっさり,あっさり
アロマティック,アロマティック
淡い,淡い
イソアミル,イソアミル
落ち着いた,落ち着いた
落ち着く,落ち着く
かぐわしい,かぐわしい
カプロン,カプロン
カプロン酸エチル,カプロン酸エチル
軽い,軽い
可憐な,可憐な
強烈,強烈
強烈な芳香,強烈な芳香
綺麗,綺麗
吟醸香,吟醸香
高貴,高貴
酢酸イソアミル,酢酸イソアミル
さっぱり,さっぱり
シトロン臭,シトロン臭
ジューシー,ジューシー
上品,上品
涼しげな,涼しげな
すっきり,すっきり
澄んだ,澄んだ
清涼,清涼
清涼感,清涼感
セメダイン,セメダイン
繊細,繊細
濃厚な,濃厚な
濃醇,濃醇
伸びやか,伸びやか
控えめな,控えめな
フルーティー,フルーティー
フレッシュ,フレッシュ
フローラル,フローラル
芳香,芳香
芳しい,芳しい
芳醇,芳醇
豊潤,豊潤
細い,細い
仄かにフルーティー,仄かにフルーティー
冷涼な,冷涼な
若い,若い
僅か,僅か
仄かな,仄かな
つんと,つんと
ふわっと,ふわっと
ふんわり,ふんわり
