key,value
カタイ,硬い
かたい,硬い
カチカチ,かちかち
かちかち,かちかち
ガチガチ,がちがち
がちがち,がちがち
カチンカチン,かちんかちん
かちんかちん,かちんかちん
カチンコチン,かちんかちん
かちんこちん,かちんかちん
ガッシリ,がっしり
がっしり,がっしり
カミゴタエガアル,かみごたえがある
かみごたえがある,かみごたえがある
かみ切れない,かみ切れない
かゆ状の,かゆ状の
カラッ,からっ
からっ,からっ
カラミツク,からみつく
からみつく,からみつく
カラリ,からり
からり,からり
カリカリ,カリカリ
かりかり,カリカリ
ガリガリ,ガリガリ
がりがり,ガリガリ
カリッ,カリッ
かりっ,カリッ
ガリッ,ガリッ
がりっ,ガリッ
キシキシ,キシキシ
きしきし,キシキシ
ギシギシ,ギシギシ
ぎしぎし,ギシギシ
クシャクシャ,くしゃっ
くしゃくしゃ,くしゃっ
グシャグシャ,ぐしゃっ
ぐしゃぐしゃ,ぐしゃっ
クシャッ,くしゃっ
くしゃっ,くしゃっ
グシャッ,ぐしゃっ
ぐしゃっ,ぐしゃっ
グズグズ,ぐずぐず
ぐずぐず,ぐずぐず
クズレヤスイ,くずれやすい
くずれやすい,くずれやすい
クタクタ,くたっ
くたくた,くたっ
クダケヤスイ,くだけやすい
くだけやすい,くだけやすい
クタッ,くたっ
くたっ,くたっ
クチャクチャ,くちゃっ
くちゃくちゃ,くちゃっ
グチャグチャ,ぐちゃっ
ぐちゃぐちゃ,ぐちゃっ
クチャッ,くちゃっ
くちゃっ,くちゃっ
グチャッ,ぐちゃっ
ぐちゃっ,ぐちゃっ
クチュクチュ,くちゅくちゅ
くちゅくちゅ,くちゅくちゅ
グチョグチョ,ぐちょっ
ぐちょぐちょ,ぐちょっ
グチョッ,ぐちょっ
ぐちょっ,ぐちょっ
クッツク,くっつく
くっつく,くっつく
クニャクニャ,くにゃっ
くにゃくにゃ,くにゃっ
グニャグニャ,ぐにゃっ
ぐにゃぐにゃ,ぐにゃっ
クニャッ,くにゃっ
くにゃっ,くにゃっ
グニャッ,ぐにゃっ
ぐにゃっ,ぐにゃっ
クニャリ,くにゃっ
くにゃり,くにゃっ
グニャリ,ぐにゃっ
ぐにゃり,ぐにゃっ
クニュクニュ,くにゅくにゅ
くにゅくにゅ,くにゅくにゅ
グニュグニュ,ぐにゅっ
ぐにゅぐにゅ,ぐにゅっ
グニュッ,ぐにゅっ
ぐにゅっ,ぐにゅっ
クニョクニョ,くにょくにょ
くにょくにょ,くにょくにょ
グニョグニョ,ぐにょっ
ぐにょぐにょ,ぐにょっ
グニョッ,ぐにょっ
ぐにょっ,ぐにょっ
くりいみい,クリーミー
クリーミー,クリーミー
クリーミィ,クリーミー
クリーム状の,クリーミー
コキコキ,コキコキ
こきこき,コキコキ
コシガアル,こしがある
こしがある,こしがある
コチコチ,こちんこちん
こちこち,こちんこちん
コチッ,こちんこちん
こちっ,こちんこちん
コチンコチン,こちんこちん
こちんこちん,こちんこちん
ゴツゴツ,ごつごつ
ごつごつ,ごつごつ
ゴムのような,ゴムのような
コリコリ,コリッ
こりこり,コリッ
ゴリゴリ,ゴリッ
ごりごり,ゴリッ
コリッ,コリッ
こりっ,コリッ
ゴリッ,ゴリッ
ごりっ,ゴリッ
こわい（強い）,こわい（強い）
ゴワゴワ,ごわごわ
ごわごわ,ごわごわ
ゴワッ,ごわごわ
ごわっ,ごわごわ
コワレヤスイ,こわれやすい
こわれやすい,こわれやすい
サクサク,サクサク
さくさく,サクサク
ザクザク,ザクザク
ざくざく,ザクザク
サクッ,サクサク
さくっ,サクサク
ザクッ,ザクザク
ざくっ,ザクザク
サックリ,サクサク
さっくり,サクサク
ザックリ,ザクザク
ざっくり,ザクザク
サラサラ,さらり
さらさら,さらり
サラッ,さらり
さらっ,さらり
サラリ,さらり
さらり,さらり
シコシコ,しこしこ
しこしこ,しこしこ
シコッ,しこしこ
しこっ,しこしこ
しっかり,しっかり
シナシナ,しなしな
しなしな,しなしな
シナッ,しなしな
しなっ,しなしな
シナヤカ,しなやか
しなやか,しなやか
シャキシャキ,シャキシャキ
しゃきしゃき,シャキシャキ
シャキッ,シャキシャキ
しゃきっ,シャキシャキ
シャクシャク,シャクシャク
しゃくしゃく,シャクシャク
シャッキリ,しゃっきり
しゃっきり,しゃっきり
シャリ,シャリシャリ
シャリシャリ,シャリシャリ
しゃりしゃり,シャリシャリ
ジャリジャリ,ジャリジャリ
じゃりじゃり,ジャリジャリ
シャリッ,シャリシャリ
しゃりっ,シャリシャリ
ジャリッ,ジャリジャリ
じゃりっ,ジャリジャリ
ジュルジュル,じゅるじゅる
じゅるじゅる,じゅるじゅる
ジュルッ,じゅるじゅる
じゅるっ,じゅるじゅる
シュワ,しゅわしゅわ
しゅわ,しゅわしゅわ
シュワシュワ,しゅわしゅわ
しゅわしゅわ,しゅわしゅわ
シュワッ,しゅわしゅわ
しゅわっ,しゅわしゅわ
ショリショリ,ショリショリ
しょりしょり,ショリショリ
ショリッ,ショリショリ
しょりっ,ショリショリ
シンナリ,しんなり
しんなり,しんなり
スジッポイ,すじっぽい
すじっぽい,すじっぽい
スベスベ,すべすべ
すべすべ,すべすべ
スベル,すべすべ
すべる,すべすべ
スルスル,するっ
するする,するっ
ズルズル,ズルッ
ずるずる,ズルッ
スルッ,するっ
するっ,するっ
ズルッ,ズルッ
ずるっ,ズルッ
スルリ,するっ
するり,するっ
ズルリ,ズルッ
ずるり,ズルッ
ゼリー状の,ゼリー状の
タラタラ,たらたら
たらたら,たらたら
ダラダラ,だらだら
だらだら,だらだら
タラッ,たらたら
たらっ,たらたら
ダラッ,だらだら
だらっ,だらだら
タラリ,たらたら
たらり,たらたら
ダラリ,だらだら
だらり,だらだら
チギレヤスイ,ちぎれやすい
ちぎれやすい,ちぎれやすい
チュルチュル,ちゅるちゅる
ちゅるちゅる,ちゅるちゅる
チュルッ,ちゅるちゅる
ちゅるっ,ちゅるちゅる
ツブレヤスイ,つぶれやすい
つぶれやすい,つぶれやすい
ツルッ,つるっ
つるっ,つるっ
ツルツル,つるっ
つるつる,つるっ
ツルリ,つるっ
つるり,つるっ
ツルン,つるっ
つるん,つるっ
ドッシリ,どっしり
どっしり,どっしり
トロケル,とろける
とろける,とろける
トロッ,とろっ
トローリ,とろっ
とろん,とろっ
とろっ,とろっ
ドロッ,どろっ
どろっ,どろっ
トロトロ,とろっ
とろとろ,とろっ
ドロドロ,どろっ
どろどろ,どろっ
トロミガアル,とろみがある
とろみがある,とろみがある
トロリ,とろっ
とろり,とろっ
ドロリ,どろっ
どろり,どろっ
とろん,とろっ
トロリン,とろっ
とろりん,とろっ
とろんとろん,とろん
トロントロン,とろん
トロン,とろん
ナメラカ,なめらか
なめらか,なめらか
ニチャッ,にちゃにちゃ
にちゃっ,にちゃにちゃ
ニチャニチャ,にちゃにちゃ
にちゃにちゃ,にちゃにちゃ
ニュルッ,にゅるっ
にゅるっ,にゅるっ
ニュルニュル,にゅるっ
にゅるにゅる,にゅるっ
ニュルリ,にゅるっ
にゅるり,にゅるっ
ヌタッ,ぬたっ
ぬたっ,ぬたっ
ヌチャッ,ぬちゃぬちゃ
ぬちゃっ,ぬちゃぬちゃ
ヌチャヌチャ,ぬちゃぬちゃ
ぬちゃぬちゃ,ぬちゃぬちゃ
ヌトッ,ぬとっ
ぬとっ,ぬとっ
ヌメッ,ぬめぬめ
ぬめっ,ぬめぬめ
ヌメヌメ,ぬめぬめ
ぬめぬめ,ぬめぬめ
ヌメリガアル,ぬめぬめ
ぬめりがある,ぬめぬめ
ヌラッ,ぬらっ
ぬらっ,ぬらっ
ヌラヌラ,ぬらっ
ぬらぬら,ぬらっ
ヌラリ,ぬらっ
ぬらり,ぬらっ
ヌルッ,ぬるぬる
ぬるっ,ぬるぬる
ヌルヌル,ぬるぬる
ぬるぬる,ぬるぬる
ヌルリ,ぬるぬる
ぬるり,ぬるぬる
ネタッ,ねたねた
ねたっ,ねたねた
ネタネタ,ねたねた
ねたねた,ねたねた
ネチッ,ねちねち
ねちっ,ねちねち
ネチネチ,ねちねち
ねちねち,ねちねち
ネチャッ,ねちゃっ
ねちゃっ,ねちゃっ
ネチャネチャ,ねちゃっ
ねちゃねちゃ,ねちゃっ
ネチョッ,ねちょねちょ
ねちょっ,ねちょねちょ
ネチョネチョ,ねちょねちょ
ねちょねちょ,ねちょねちょ
ネッチリ,ねっちり
ねっちり,ねっちり
ネットリ,ねっとり
ねっとり,ねっとり
ネトッ,ねっとり
ねとっ,ねっとり
ネトツク,ねっとり
ねとつく,ねっとり
ネトネト,ねっとり
ねとねと,ねっとり
ネバイ,ねばねば
ねばい,ねばねば
ネバッ,ねばねば
ねばっ,ねばねば
ネバツク,ねばねば
ねばつく,ねばねば
ネバッコイ,ねばねば
ねばっこい,ねばねば
ネバネバ,ねばねば
ねばねば,ねばねば
ネバリガアル,ねばねば
ねばりがある,ねばねば
ノドゴシガヨイ,のどごしがよい
のどごしがよい,のどごしがよい
ノビタ,のびた
のびた,のびた
ノビル,のびる
のびる,のびる
バキッ,バキバキ
ばきっ,バキバキ
パキッ,パキッ
ぱきっ,パキッ
バキバキ,バキバキ
ばきばき,バキバキ
パキパキ,パキッ
ぱきぱき,パキッ
ハジケル,はじける
はじける,はじける
バリッ,バリバリ
ばりっ,バリバリ
パリッ,パリッ
ぱりっ,パリッ
バリバリ,バリバリ
ばりばり,バリバリ
パリパリ,パリッ
ぱりぱり,パリッ
フカッ,ふかふか
ふかっ,ふかふか
フカフカ,ふかふか
ふかふか,ふかふか
ブチッ,ぶちぶち
ぶちっ,ぶちぶち
ブチブチ,ぶちぶち
ぶちぶち,ぶちぶち
ブチュ,ぶちゅ
ぶちゅ,ぶちゅ
プチュ,ぷちゅ
ぷちゅ,ぷちゅ
フックラ,ふっくら
ふっくら,ふっくら
フックリ,ふっくり
ふっくり,ふっくり
プックリ,ぷっくり
ぷっくり,ぷっくり
プニプニ,ぷにぷに
ぷにぷに,ぷにぷに
フニャッ,ふにゃっ
ふにゃっ,ふにゃっ
フニャフニャ,ふにゃっ
ふにゃふにゃ,ふにゃっ
フニャリ,ふにゃっ
ふにゃり,ふにゃっ
プニュプニュ,ぷにゅぷにゅ
ぷにゅぷにゅ,ぷにゅぷにゅ
フニョフニョ,ふにょふにょ
ふにょふにょ,ふにょふにょ
ブニョブニョ,ぶにょぶにょ
ぶにょぶにょ,ぶにょぶにょ
プニョプニョ,ぷにょぷにょ
ぷにょぷにょ,ぷにょぷにょ
ブヨッ,ぶよぶよ
ぶよっ,ぶよぶよ
ブヨブヨ,ぶよぶよ
ぶよぶよ,ぶよぶよ
プヨプヨ,ぷよぷよ
ぷよぷよ,ぷよぷよ
ブリッ,ぶりっ
ぶりっ,ぶりっ
プリッ,ぷりっ
ぷりっ,ぷりっ
ブリブリ,ぶりっ
ぶりぶり,ぶりっ
プリプリ,ぷりっ
プリップリ,ぷりっ
ぷりっぷり,ぷりっ
ぷりぷり,ぷりっ
ブリン,ぶりんぶりん
ぶりん,ぶりんぶりん
ブリンブリン,ぶりんぶりん
ぶりんぶりん,ぶりんぶりん
プリンプリン,ぷりっ
ぷりんぷりん,ぷりっ
フルフル,ふるふる
ふるふる,ふるふる
ブルブル,ぶるぶる
ぶるぶる,ぶるぶる
プルップル,ぷるぷる
ぷるっぷる,ぷるぷる
プルプル,ぷるぷる
プルリン,ぷるぷる
ぷるりん,ぷるぷる
ぷるぷる,ぷるぷる
ぷるるん,ぷるぷる
プルッ,ぷるぷる
ぷるっ,ぷるぷる
プルルン,ぷるぷる
ブルン,ぶるんぶるん
ぶるん,ぶるんぶるん
プルン,ぷるぷる
ぷるん,ぷるぷる
ブルンブルン,ぶるんぶるん
ぶるんぶるん,ぶるんぶるん
プルンプルン,ぷるぷる
