category,value,key
actions,adding,加える
actions,body temperature,人肌
actions,coagulating,固まる
actions,coagulating,固める
actions,coagulating,かためる
actions,coagulating,かたまる
actions,coagulating,E:set
actions,coagulating,E:harden
actions,cooling,冷める
actions,cooling,さま一般+五段-サ行
actions,cooling,冷ま一般+五段-サ行
actions,cooling,さます
actions,cooling,冷や一般+五段-サ行
actions,cooling,冷す
actions,cooling,ひやす
actions,cooling,冷やかす
actions,cooling,冷え一般+下一段-ア行
actions,cooling,E:chill
actions,cooling,E:cool
actions,cooling,冷える
actions,cooling,冷ます
actions,cooling,冷ます
actions,cooling,冷や
actions,crushing,つぶ一般+五段-サ行
actions,crushing,潰一般+五段-サ行
actions,crushing,擂り潰す
actions,crushing,磨り潰す
actions,crushing,すり潰す
actions,crushing,つぶす
actions,crushing,すりつぶす
actions,crushing,つぶせる
actions,crushing,潰せる
actions,crushing,つぶれる
actions,crushing,潰れる
actions,crushing,握りつぶす
actions,crushing,押しつぶす
actions,crushing,たたきつぶす
actions,crushing,マッシュする
actions,crushing,E:mash
actions,crushing,E:kill
actions,crushing,潰す
actions,dishing up,盛る
actions,dishing up,盛り付ける
actions,dissolving,溶く
actions,dissolving,融かす
actions,dissolving,とかす
actions,dissolving,溶ける
actions,dissolving,融ける
actions,dissolving,とける
actions,dissolving,解く
actions,dissolving,とく
actions,dissolving,溶かす
actions,dissolving,溶けだす
actions,dissolving,溶け込む
actions,dissolving,煮溶かす
actions,dissolving,とろける
actions,dissolving,蕩ける
actions,dissolving,とろかす
actions,dissolving,蕩かす
actions,dissolving,水溶き普通名詞-一般+
actions,dissolving,溶かし普通名詞-一般+
actions,dissolving,E:melt
actions,dissolving,E:dissolve
actions,dropping,かける
actions,extinguishing,消える
actions,extinguishing,きえる
actions,floating,あてる
actions,floating,当てる
actions,half,半分
actions,icing,冷やす
actions,placing,おく
actions,pouring,流す
actions,pouring,流し込む
actions,pouring,流し入れる
actions,pouring,ながす
actions,pouring,注ぐ
actions,pouring,そそぐ
actions,pouring,ながしこむ
actions,puree,ピューレ
actions,putting,並べ一般+下一段-バ行
actions,putting,ならべる
actions,putting,並ぶ
actions,putting,広げ一般+下一段-ガ行
actions,putting,拡げる
actions,putting,ひろげる
actions,putting,広がる
actions,putting,ひろがる
actions,putting,E:place
actions,putting,E:arrange
actions,putting,E:line
actions,stirring,まぜあわせる
actions,stirring,混ぜ合わす
actions,stirring,混ぜあわす
actions,stirring,まぜあわす
actions,stirring,混ぜ合う
actions,stirring,掻き混ぜる
actions,stirring,掻きまぜる
actions,stirring,かきまぜる
actions,stirring,かき回す
actions,stirring,かきまわす
actions,stirring,混ぜ込
actions,stirring,かき混ぜる
actions,stirring,かき混ぜる
actions,stirring,カクハン
actions,stirring,かくはん
actions,stirring,ミキシング
actions,stirring,撹拌
actions,stirring,交ぜる
actions,stirring,攪拌
actions,stopping,止め一般+下一段-マ行
actions,stopping,止る
actions,stopping,とめ一般+下一段-マ行
actions,stopping,止まる
actions,stopping,とまる
actions,thickness,トロ
actions,thickness,とろみ
actions,thickning,付く
actions,thickning,つく
actions,transferring,移一般+五段-サ行
actions,transferring,うつ一般+五段-サ行
actions,transferring,移せる
actions,transferring,うつしだす
actions,transferring,うつる
actions,transferring,E:move
actions,transferring,E:remove
actions,transferring,うつす
actions,transferring,移す
actions,turning off,消す
actions,turning off,けす
actions,turning off,E:turn off
actions,turning off,E:remove
actions,warming,温める
actions,warming,温度
actions,wetting,濡ら一般+五段-サ行
actions,wetting,ぬらす
actions,wetting,濡れる
actions,wetting,ぬれる
actions,wetting,湿る
actions,wetting,しめる
actions,wetting,E:moisten
actions,wetting,E:wet
actions,wetting,E:cake
actions,wetting,濡らす
actions,whole,全て
actions,whole,全体
actions,あたためる,あたためる
actions,あたためる,温め一般+下一段-マ行
actions,あたためる,暖め一般+下一段-マ行
actions,あたためる,あたたためる
actions,あたためる,あたたまる
actions,あたためる,温まる
actions,あたためる,暖まる
actions,あたためる,熱一般+五段-サ行
actions,あたためる,熱一般+サ行変格
actions,あたためる,熱一般+サ行変格
actions,あたためる,熱一般+サ行変格
actions,あたためる,あっためる
actions,あたためる,あったまる
actions,あたためる,加熱普通名詞-サ変可能+
actions,あたためる,予熱普通名詞-サ変可能+
actions,あたためる,チン
actions,あたためる,チン普通名詞-サ変可能+
actions,あたためる,チン普通名詞-サ変可能+
actions,あたためる,熱一般+サ行変格
actions,あたためる,余熱普通名詞-サ変可能+
actions,あたためる,熱一般+五段-サ行
actions,あたためる,E:heat
actions,あたためる,E:warm
actions,あたためる,E:microwave
actions,いぶす,いぶす
actions,いぶす,燻す
actions,いぶす,E:smoke
actions,うらがえす,うらがえす
actions,うらがえす,裏返す
actions,うらがえす,ひっくりかえす
actions,うらがえす,ひっくり返一般+五段-サ行
actions,うらがえす,引っくり返す
actions,うらがえす,ひっくり返せる
actions,うらがえす,ひっくり返る
actions,うらがえす,E:turn over
actions,からみつく,からみつく
actions,からみつく,絡みつく
actions,からみつく,まとわりつく
actions,からみつく,ひっつく
actions,からみつく,ひっ付く
actions,からみつく,引っ付く
actions,からみつく,E:twine
actions,きれい,綺麗
actions,くぐらせる,くぐ一般+五段-ラ行ラ行サ行
actions,くぐらせる,潜らせる
actions,くぐらせる,くぐらす
actions,くぐらせる,潜らす
actions,くぐらせる,くぐす
actions,くぐらせる,潜す
actions,くぐらせる,E:dip into
actions,くっつく,くっつく
actions,くっつく,ひっつく
actions,くっつく,ひっ付く
actions,くっつく,引っ付く
actions,くっつく,はりつく
actions,くっつく,張りつく
actions,くっつく,貼り付く
actions,くっつく,張り付く
actions,くっつく,はりつける
actions,くっつく,張りつける
actions,くっつく,張り付ける
actions,くっつく,こびりつく
actions,くっつく,こびり付く
actions,くっつく,貼る
actions,くっつく,E:stick
actions,くりぬく,くりぬ一般+五段-カ行
actions,くりぬく,くり抜一般+五段-カ行
actions,くりぬく,くり貫く
actions,くりぬく,くりだす
actions,くりぬく,くり出す
actions,くりぬく,かきだす
actions,くりぬく,かぎだす
actions,くりぬく,かき出す
actions,くりぬく,掻き出す
actions,くりぬく,かきとる
actions,くりぬく,掘り出す
actions,くりぬく,ほじる
actions,くりぬく,ほじくる
actions,くりぬく,えぐる
actions,くりぬく,えぐりとる
actions,くりぬく,E:out
actions,くりぬく,E:scooped-out
actions,くりぬく,E:kirby
actions,くり抜く,くりぬく
actions,こおる,こおる
actions,こおる,凍る
actions,こおる,凍みる
actions,こおる,E:freezer
actions,こする,こする
actions,こする,擦る
actions,こする,E:rub
actions,こする,E:scrub
actions,こする,E:scrape
actions,こねる,こね一般+下一段-ナ行
actions,こねる,捏ね一般+下一段-ア行
actions,こねる,E:knead
actions,さらう,さらう
actions,さらう,E:dredge
actions,さらす,さら一般+五段-サ行
actions,さらす,晒す
actions,さらす,曝す
actions,さらす,E:soak
actions,シェイク,シェイク
actions,しごく,しごく
actions,しごく,扱く
actions,しごく,扱き出す
actions,しごく,扱きだす
actions,しごく,しごき出す
actions,しごく,しごきだす
actions,しごく,E:squeezing
actions,しごく,E:strip
actions,しぼむ,しぼむ
actions,しぼむ,萎む
actions,しぼむ,縮む
actions,しぼむ,ちぢむ
actions,しぼむ,縮まる
actions,しぼむ,E:wither
actions,すくう,すくう
actions,すくう,すくう
actions,スライス,スライス
actions,すりおろす,すりおろ一般+五段-サ行
actions,すりおろす,E:tube
actions,そろう,そろう
actions,そろう,揃う
actions,そろう,E:complete
actions,たたく,たた一般+五段-カ行
actions,たたく,叩一般+五段-カ行
actions,たたく,たたきつける
actions,たたく,E:pound
actions,たたく,たたく
actions,ちりばめる,散りばめる
actions,ちりばめる,ちりばめる
actions,とじる,とじる
actions,とじる,閉じ一般+上一段-ザ行
actions,とじる,綴じる
actions,とじる,E:seal
actions,とじる,E:close
actions,なじむ,なじ一般+五段-マ行
actions,なじむ,馴染む
actions,なじむ,なじめる
actions,なじむ,馴染める
actions,なじむ,なじ一般+五段-マ行マ行サ行
actions,なじむ,E:mix
actions,なじむ,E:evenly
actions,なでる,なでる
actions,なでる,撫でる
actions,なでる,E:stroke
