key,value
あせあせ,アセアセ
アセアセ,アセアセ
アツアツ,アツアツ
あつあつ,アツアツ
アッサリ,あっさり
あっさり,あっさり
アッツアツ,アッツアツ
あっつあつ,アッツアツ
アマアマ,あまあま
あまあま,あまあま
アワワ,アワワ
あわわ,アワワ
イソイソ,いそいそ
いそいそ,いそいそ
いらいら,イライラ
イライラ,イライラ
ウキウキ,ウキウキ
うきうき,ウキウキ
うっとり,ウットリ
ウットリ,ウットリ
ウネウネ,ウネウネ
うねうね,ウネウネ
うまうま,ウマウマ
ウマウマ,ウマウマ
うろうろ,ウロウロ
ウロウロ,ウロウロ
ウロチョロ,ウロチョロ
うろちょろ,ウロチョロ
エビエビ,えびえび
えびえび,えびえび
オイオイ,オイオイ
おいおい,オイオイ
おろおろ,オロオロ
オロオロ,オロオロ
ガク,ガク
がくぶる,ガクブル
ガクブル,ガクブル
カコ,カコ
かこ,カコ
ガサガサ,ガサガサ
がさがさ,ガサガサ
カシャカシャ,カシャカシャ
かしゃかしゃ,カシャカシャ
カタッ,カタッ
かたっ,カタッ
がたっ,ガタッ
ガタッ,ガタッ
カチカチ,カチカチ
かちかち,カチカチ
カチャカチャ,カチャカチャ
かちゃかちゃ,カチャカチャ
ガチャガチャ,ガチャガチャ
がちゃがちゃ,ガチャガチャ
カッ,カッ
がつがつ,ガツガツ
ガツガツ,ガツガツ
カッチカチ,カッチカチ
かっちかち,カッチカチ
ガッチガチ,ガッチガチ
がっちがち,ガッチガチ
カッチリ,カッチリ
かっちり,カッチリ
ガッチリ,ガッチリ
がっちり,ガッチリ
ガッツ,ガッツ
ガッツリ,ガッツリ
がっつり,ガッツリ
ガップリ,ガップリ
がっぷり,ガップリ
カプカプ,カプカプ
かぷかぷ,カプカプ
ガブガブ,ガブガブ
がぶがぶ,ガブガブ
がぶり,ガブリ
ガブリ,ガブリ
ガブリッ,ガブリッ
ガヤガヤ,ガヤガヤ
がやがや,ガヤガヤ
カラカラ,カラカラ
からから,カラカラ
ガラガラ,ガラガラ
がらがら,ガラガラ
カラッ,カラッ
からっ,カラッ
ガラリ,ガラリ
がらり,ガラリ
カリ,カリ
がり,ガリ
ガリ,ガリ
カリカリ,カリカリ
かりかり,カリカリ
ガリガリ,ガリガリ
がりがり,ガリガリ
カリッ,カリッ
かりっ,カリッ
カリリ,カリリ
かりり,カリリ
カンカン,カンカン
かんかん,カンカン
ガンガン,ガンガン
がんがん,ガンガン
ギクシャク,ギクシャク
ぎくしゃく,ギクシャク
ギザギザ,ギザギザ
ぎざぎざ,ギザギザ
ギシギシ,ギシギシ
ぎしぎし,ギシギシ
キチッ,キチッ
きちっ,キチッ
キッ,キッ
ぎっしり,ギッシリ
ギッシリ,ギッシリ
キッパリ,キッパリ
きっぱり,キッパリ
ギトギト,ギトギト
ぎとぎと,ギトギト
キビ,キビ
キビキビ,キビキビ
きびきび,キビキビ
キャイキャイ,キャイキャイ
きゃいきゃい,キャイキャイ
ぎゅー,ギュー
ギュー,ギュー
ぎゅうぎゅう,ギュウギュウ
ギュウギュウ,ギュウギュウ
キュッ,キュッ
きゅっ,キュッ
ギュッ,ギュッ
ぎゅっ,ギュッ
ギュッギュッ,ギュッギュッ
ぎゅっぎゅっ,ギュッギュッ
キュン,キュン
きゅん,キュン
キョロキョロ,キョロキョロ
きょろきょろ,キョロキョロ
キラキラ,キラキラ
キラッ,キラッ
きらっ,キラッ
キラッキラ,キラッキラ
きらっきら,キラッキラ
キラリ,キラリ
きらり,キラリ
キリ,キリ
ギリギリ,ギリギリ
ぎりぎり,ギリギリ
キンキラキン,キンキラキン
きんきらりん,キンキラキン
キンキン,キンキン
きんきん,キンキン
ギンギン,ギンギン
ぎんぎん,ギンギン
ぐぃ,グイ
ぐい,グイ
グイ,グイ
グイグイ,グイグイ
ぐいぐい,グイグイ
グー,グー
ぐー,グー
ぐーん,グーン
グーン,グーン
ぐじゅー,グジュー
グジュー,グジュー
ぐじゅぐじゅ,グジュグジュ
グジュグジュ,グジュグジュ
クスクス,クスクス
くすくす,クスクス
ぐすぐす,グズグズ
グズグズ,グズグズ
グダ,グダ
ぐだ,グダ
ぐちゃぐちゃ,グチャグチャ
グチャグチャ,グチャグチャ
グッ,グッ
ぐっ,グッ
くっきり,クッキリ
クッキリ,クッキリ
ぐつぐつ,グツグツ
グツグツ,グツグツ
グデングデン,グデングデン
ぐでんぐでん,グデングデン
グニグニ,グニグニ
ぐにぐに,グニグニ
ぐび,ぐび
ぐびぐび,グビグビ
グビグビ,グビグビ
クラクラ,クラクラ
くらくら,クラクラ
グラグラ,グラグラ
ぐらぐら,グラグラ
クルクル,クルクル
くるくる,クルクル
ぐるぐる,グルグル
グルグル,グルグル
ぐるっ,グルッ
グルッ,グルッ
ぐるり,グルリ
グルリ,グルリ
ぐわっ,グワッ
グワッ,グワッ
ぐんぐん,グングン
グングン,グングン
けちけち,ケチケチ
ケチケチ,ケチケチ
けちょんけちょん,けちょんけちょん
ケチョンケチョン,
ゲンナリ,ゲンナリ
げんなり,ゲンナリ
コク,コク
ごく,ごく
ごくごく,ゴクゴク
ゴクゴク,ゴクゴク
ゴクリ,ゴクリ
ごくり,ゴクリ
ごちゃごちゃ,ゴチャゴチャ
ゴチャゴチャ,ゴチャゴチャ
こっくり,コックリ
コックリ,コックリ
ゴックン,ゴックン
ごっくん,ゴックン
コツコツ,コツコツ
こつこつ,コツコツ
ゴツゴツ,ゴツゴツ
ごつごつ,ゴツゴツ
こってり,コッテリ
コッテリ,コッテリ
コテコテ,コテコテ
ごてごて,コテコテ
コト,コト
コトコト,コトコト
コリコリ,コリコリ
こりこり,コリコリ
ゴリゴリ,ゴリゴリ
ごりごり,ゴリゴリ
ゴロ,ゴロ
ごろ,ゴロ
コロコロ,コロコロ
ころころ,コロコロ
ゴロゴロ,ゴロゴロ
ごろごろ,ゴロゴロ
ゴロッ,ゴロッ
コロン,コロン
こんがり,こんがり
コンガリ,こんがり
こんもり,こんもり
コンモリ,こんもり
ザーーッ,ザーーッ
ざーーっ,ザーーッ
ザーザー,ザーザー
ざーざー,ザーザー
サク,サク
ざく,ザク
サクサク,サクサク
さくさく,サクサク
ざくざく,ザクザク
ザクザク,ザクザク
さくっ,サクッ
サクッ,サクッ
サクッサク,サクッサク
さくっさく,サクッサク
ササッ,ササッ
ささっ,ササッ
サッ,サッ
さっ,サッ
ざっ,ザッ
ザッ,ザッ
サックサク,サックサク
さっくさく,サックサク
ざっくざく,ザックザク
ザックザク,ザックザク
サックリ,サックリ
さっくり,サックリ
ざっくり,ザックリ
ザックリ,ザックリ
さっさ,サッサ
サッサ,サッサ
さっぱり,サッパリ
サッパリ,サッパリ
ざら,ザラ
ザラ,ザラ
サラサラ,サラサラ
さらさら,サラサラ
ザラザラ,ザラザラ
ざらざら,ザラザラ
サラッ,サラッ
さらっ,サラッ
サラリ,サラリ
さらり,サラリ
ざわざわ,ザワザワ
ザワザワ,ザワザワ
じーっ,ジーッ
ジーッ,ジーッ
しこしこ,シコシコ
シコシコ,シコシコ
シズシズ,シズシズ
しずしず,シズシズ
ジタバタ,ジタバタ
じたばた,ジタバタ
じっ,じっ
じっくり,じっくり
ジックリ,じっくり
しっとり,しっとり
シットリ,しっとり
しとしと,しとしと
シトシト,しとしと
シャカシャカ,シャカシャカ
しゃかしゃか,シャカシャカ
シャキシャキ,シャキシャキ
しゃきしゃき,シャキシャキ
シャキッ,シャキッ
しゃきっ,シャキッ
シャキッシャキッ,シャキッシャキッ
しゃきっしゃきっ,シャキッシャキッ
シャクシャク,シャクシャク
しゃくしゃく,シャクシャク
しゃっきり,シャッキリ
シャッキリ,シャッキリ
